model_id,model,provider,description,size,deployment_type,license,cost_type,input_token_price,second_cost,max_tokens,embedding_length
"all_minilm_l6_v2","All MiniLM L6 v2","HuggingFace","all-MiniLM-L6-v2 - This is a sentence-transformers model: It maps sentences & paragraphs to a 384 dimensional dense vector space and can be used for tasks like clustering or semantic search.",22700000,"SCR","Open-Source","Seconds",.,0.000039178,256,384
"bge_base_en_v15","BGE Base EN v1.5","BAAI","BAAI pre-trains the models using retromae and trains them on large-scale pairs data using contrastive learning.",109000000,"SCR","Open-Source","Seconds",.,0.000039178,512,768
"bge_large_en_v15","BGE Large EN v1.5","BAAI","BAAI pre-trains the models using retromae and trains them on large-scale pairs data using contrastive learning.",335000000,"SCR","Open-Source","Seconds",.,0.000039178,512,1024
"bge_small_en_v15","BGE Small EN v1.5","BAAI","BAAI pre-trains the models using retromae and trains them on large-scale pairs data using contrastive learning.",33400000,"SCR","Open-Source","Seconds",.,0.000039178,512,384
"embedding_gemma_300m","Embedding Gemma 300M","Google","EmbeddingGemma is a 300M parameter, state-of-the-art for its size, open embedding model from Google, built from Gemma 3 (with T5Gemma initialization) and the same research and technology used to create Gemini models. EmbeddingGemma produces vector representations of text, making it well-suited for search and retrieval tasks, including classification, clustering, and semantic similarity search. This model was trained with data in 100+ spoken languages.",303000000,"SCR","Open-Source","Seconds",.,0.000039178,256,384
"gemini_embedding_001","Gemini Embedding 001","Google","The Gemini API offers text embedding models to generate embeddings for words, phrases, sentences, and code.",.,"API","Proprietary","Tokens",0.00000015,.,2048,3072
"granite_embedding_r2","Granite Embedding English R2","IBM","IBM Granite Embedding English R2: a 149M-parameter ModernBERT dense bi-encoder producing 768-dimensional vectors over an 8192-token context, tuned for enterprise retrieval. Apache-2.0.",149000000,"SCR","Open-Source","Seconds",.,0.000039178,8192,768
"granite_embedding_small_r2","Granite Embedding Small English R2","IBM","IBM Granite Embedding Small English R2: a 47M-parameter ModernBERT dense bi-encoder producing 384-dimensional vectors over an 8192-token context, tuned for enterprise retrieval and fast on CPU. Apache-2.0.",47000000,"SCR","Open-Source","Seconds",.,0.000039178,8192,384
"text_embedding_3_large","Text Embedding 3 Large","OpenAI","text-embedding-3-large is OpenAIs most capable embedding model for both english and non-english tasks. Embeddings are a numerical representation of text that can be used to measure the relatedness between two pieces of text. Embeddings are useful for search, clustering, recommendations, anomaly detection, and classification tasks.",.,"API","Proprietary","Tokens",0.00000013,.,8192,3072
"text_embedding_3_small","Text Embedding 3 Small","OpenAI","text-embedding-3-small is OpenAI's improved, more performant version of their ada embedding model. Embeddings are a numerical representation of text that can be used to measure the relatedness between two pieces of text. Embeddings are useful for search, clustering, recommendations, anomaly detection, and classification tasks.",.,"API","Proprietary","Tokens",0.00000002,.,8192,1536
"titan_embed_text_v2","Titan Text Embeddings V2","AWS Bedrock","Titan Text Embeddings V2 by AWS Bedrock, served through the AWS Bedrock API.",.,"API","Proprietary","Tokens",0.00000002,.,8192,1024
"voyage_35","Voyage 3.5","Voyage.ai","Voyage.ai introduces voyage-3.5, the latest generation of their embedding models. This model offers improved retrieval quality over voyage-3 at the same price, setting a new frontier for price-performance.",.,"API","Proprietary","Tokens",0.00000006,.,32000,1024
"voyage_35_lite","Voyage 3.5 Lite","Voyage.ai","Voyage.ai introduces voyage-3.5-lite, the latest generation of their embedding models. This model offers improved retrieval quality over voyage-3-lite at the same price, setting a new frontier for price-performance.",.,"API","Proprietary","Tokens",0.00000002,.,32000,1024
"voyage_code_3","Voyage Code 3","Voyage.ai","Voyage Code 3 by Voyage, served through the Voyage AI API.",.,"API","Proprietary","Tokens",0.00000018,.,32000,1024
"voyage_finance_2","Voyage Finance 2","Voyage.ai","Voyage.ai introduces voyage-finance-2, Optimized for legal retrieval and RAG.",.,"API","Proprietary","Tokens",0.00000012,.,32000,1024
"voyage_law_2","Voyage Law 2","Voyage.ai","Voyage.ai introduces voyage-law-2, Optimized for legal retrieval and RAG.",.,"API","Proprietary","Tokens",0.00000012,.,16000,1024
